floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,205,18.24,4.98,-58,-42,-62,-73,,-80,,-86,-86,13.08,d,sağ taraf 8.sıra
1,D,205,18.24,4.98,-62,-31,,-84,-88,-69,-88,,,13.08,d,sağ taraf 8.sıra
1,D,205,19.15,4.98,-60,-42,-62,-75,,-69,-79,,,13.17,d,sağ taraf 9.sıra
1,D,205,19.15,4.98,-58,-46,-68,-76,-86,-70,,,,13.17,d,sağ taraf 9.sıra
1,D,205,19.15,4.98,-53,-34,-66,,-78,-68,,,-76,13.21,e,sağ taraf 9.sıra
1,D,205,19.15,4.98,-57,-37,,,-78,-71,,,,13.21,e,sağ taraf 9.sıra
1,D,205,11.15,6.76,-65,-48,-60,-68,,-83,-90,,,13.26,d,sağ arka en köşe 1. sıra yani
1,D,205,11.15,6.76,-63,-48,-52,-68,,-80,-90,,,13.27,d,sağ arka en köşe 1. sıra yani
1,D,205,11.15,6.76,-55,-47,-49,,-80,-81,-86,,,13.30,e,sağ arka en köşe 1. sıra yani
1,D,205,11.15,6.76,-66,-50,-51,,-80,-77,,,-83,13.32,e,sağ arka en köşe 1. sıra yani
1,D,205,12.87,6.76,-64,-53,-54,,,-73,,-86,,13.39,d,en  sağa en arka ikinci sıra askılık yanı duvar
1,D,205,12.87,6.76,-62,-56,-62,,,,-76,,,13.41,d,en  sağa en arka ikinci sıra askılık yanı duvar
1,D,205,12.87,6.76,-58,-54,-62,-72,-86,-69,,,,13.43,e,en  sağa en arka ikinci sıra askılık yanı duvar
1,D,205,12.87,6.76,-57,,-62,,-86,-69,,,,13.43,e,en  sağa en arka ikinci sıra askılık yanı duvar
1,D,205,14.82,6.76,-51,-48,-65,-70,-89,-79,-86,,,13.45,e,en sağ en arka 4. sıra duvar tarafı
1,D,205,14.82,6.76,-50,-46,-65,-68,-89,,-86,,,13.45,e,en sağ en arka 4. sıra duvar tarafı
1,D,205,14.82,6.76,-63,-56,-63,-77,-90,,,,,13.43,d,en sağ en arka 4. sıra duvar tarafı
