class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,0.70,4.95,en sağ en arka 1. sıra,-68,-71,-73,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.70,4.95,en sağ en arka 1. sıra,-100,-100,-70,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,0.70,4.95,en sağ en arka 1. sıra,-75,-74,-71,-100,-100,-100,-100,-100,-100,-100,-100
204,D,1,0.70,4.95,en sağ en arka 1. sıra,-100,-72,-74,-78,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,4.95,en sağ en arka 2. sıra,-72,-71,-70,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,4.95,en sağ en arka 2. sıra,-100,-72,-74,-78,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,4.95,en sağ en arka 2. sıra,-100,-74,-67,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,1.60,4.95,en sağ en arka 2. sıra,-100,-76,-61,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-78,-76,-66,-82,-86,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-75,-74,-68,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-73,-72,-74,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-73,-72,-74,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-70,-73,-100,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-71,-76,-100,-72,-100,-100,-100,-100,-100,-100,-100
204,D,1,2.54,4.95,en sağ en arka 3. sıra,-72,-80,-100,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.46,4.95,en sağ arka 4. sıra,-100,-79,-66,-77,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.46,4.95,en sağ arka 4. sıra,-81,-79,-67,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,3.46,4.95,en sağ arka 4. sıra,-84,-86,-74,-100,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.46,4.95,en sağ arka 4. sıra,-68,-74,-62,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,3.46,4.95,en sağ arka 4. sıra,-65,-86,-69,-70,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-81,-79,-68,-100,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-81,-75,-66,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-67,-100,-63,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-69,-100,-62,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-80,-72,-73,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-81,-73,-71,-86,-86,-100,-100,-100,-100,-100,-100
204,D,1,4.39,4.95,en sağ arka 5. sıra,-68,-100,-62,-75,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.33,4.95,en sağ arka 6. sıra,-69,-67,-100,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.33,4.95,en sağ arka 6. sıra,-77,-74,-72,-100,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.33,4.95,en sağ arka 6. sıra,-77,-74,-66,-81,-86,-100,-100,-100,-100,-100,-100
204,D,1,5.33,4.95,en sağ arka 6. sıra,-79,-76,-64,-82,-86,-100,-100,-100,-100,-100,-100
204,D,1,5.33,4.95,en sağ arka 6. sıra,-100,-72,-62,-100,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-74,-72,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-70,-80,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-70,-80,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-73,-70,-72,-74,-86,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-75,-65,-72,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-74,-59,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,6.25,4.95,en sağ arka 7. sıra,-100,-74,-53,-67,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-74,-70,-64,-74,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-75,-66,-65,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-78,-66,-69,-84,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-77,-65,-64,-78,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-77,-74,-100,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-68,-74,-63,-70,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.14,4.95,en sağ arka 8. sıra,-66,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100
